Category,Question,Answer
General,Juliet 'i melt with you' was which band's signature hit released on their 'after the snow' album in 1982,Modern english
Geography,"""Honolulu"" means _____________",Sheltered harbor
General,How many gallons of fuel does a jumbo jet use during take off?,Four thousand
Sports & Leisure,In the game of cricket which bird name means scoring no runs,Duck
Music,With which singer did Westlife record a version of Against all Odds in 2000?,Mariah Carey
 History & Holidays,"In 1951 Howard Hawks Produced The Thing. Who Directed The 1982 remake, Starring Kurt Russell",John Carpenter
General,The Paris stock exchange,Bourse
 History & Holidays,What amendment to the u.s. constitution ended prohibition,The twenty first
General,What game of chance was originally called 'Beano',Bingo
 History & Holidays,Where Did Napoleon Bonaparte Die In Exile?,St Helena
Food & Drink,The eggs of this sturgeon are the preferred form of caviar.,Beluga
General,What is the motto of the three muskateers,All for one & one for all
General,What is the flower that stands for: a heart ignorant of love,White rosebud
General,What nationality was the sculpture Brancusi,Romanian
Toys & Games,"Charles Darrow based his game upon the 1904 ""The Landlord's Game"".",Monopoly
General,"Who sang ""I Want My MTV"" on the Dire Straits song ""Money For Nothing""?",Sting
 History & Holidays,"What country did poinsettias originally come from? (Mexico,Us, Spain ,Brazil)",Mexico
Music,Who Starred As Cole Porter In The 1945 Film Night & Day,Cary Grant
General,"Before Hitting The Big Time As A Singer & Tv Personality What Was ""Perry Como's "" Profession",A Barber / Hair Dresser
Music,What was finally a top ten hit for Ce Ce Peniston on its 1992 Re-Release,Finally
General,"Seventeen thousand how many camels carried the 117,000 volumes of abdul kassem ismael's library",400
General,Under Michigan State law who are officially classed mechanics,Dentists
General,"Medieval monks invented this stopper, necessary for champagne",Cork
General,In the body luteinizing hormone is produced by what gland,Pituitary
Food & Drink,What colour is chablis?,White
Sports & Leisure,Football: The Denver ____?,Broncos
General,What are the stars in traditional Cornish Star Gazey pie,Pilchards eyes
General,What is raku,Japanese pottery
General,Proverbially it was a bold man who  first ate what,An Oyster
Food & Drink,Where is the oldest distillery in the world?,"The Old Bushmills, Cty Antrim"
General,"What countries days include Fire day, Water day and wood day",Japan Tue Wed Thu
General,In golf what would you put in your shag bag,Practice Balls
General,"Constance Markiewicz, Became The Worlds First Ever What In 1918?",First British Female MP
